net,length_um
clknet_0_clk,1.271645mm
net337,559.595µm
net78,536.595µm
net111,532.255µm
net106,512.795µm
net82,496.16µm
net86,474.96µm
net91,458.945µm
net295,453.65µm
net96,449.795µm
clk,449.15µm
net149,433µm
net66,431.205µm
net136,413.09µm
net93,406.39µm
net104,405.46µm
net294,404.59µm
net99,399.24µm
net88,396.32µm
net109,390.08µm
net155,381.315µm
net94,375.95µm
net83,366.37µm
net84,362.96µm
_0778_,361.46µm
net101,350.11µm
net77,347.56µm
net81,347.21µm
net89,345.315µm
net79,342.98µm
net189,340.01µm
net67,331.69µm
net138,328.865µm
u_core.dec_addr_i\[6\],327.45µm
net98,325.935µm
net141,322.43µm
net76,321.575µm
net953,319.6µm
net176,316.79µm
net129,305.44µm
net195,305.115µm
net137,298.195µm
net80,297.145µm
net108,295.88µm
net140,293.615µm
net148,284.99µm
net92,284.86µm
net134,284.835µm
net128,278.265µm
net199,277.355µm
net157,275.775µm
net182,275.515µm
net131,273.765µm
net113,272.25µm
net184,271.62µm
net133,271.46µm
net181,269.675µm
net173,268.305µm
net191,265.365µm
net132,264.86µm
net103,263.04µm
net135,262.96µm
net336,262.915µm
net163,261.625µm
u_core.dec_addr_i\[3\],258.025µm
net179,257.45µm
net147,257.01µm
net150,255.14µm
net202,253.965µm
net320,253.835µm
net267,253.395µm
net201,248.37µm
net256,247.365µm
u_core.mem_rd_addr\[0\],245.16µm
net139,243.37µm
net87,241.17µm
net127,239.965µm
net95,239.49µm
net188,237.92µm
net186,237.62µm
net102,232.08µm
net145,230.515µm
net4,229.81µm
net180,225.895µm
net287,225.515µm
clknet_4_0_0_clk,223.295µm
net107,223.125µm
_0882_,222.05µm
net194,220.065µm
net192,219.895µm
net62,219.665µm
net36,218.79µm
net142,218.725µm
net151,217.795µm
u_core.dec_data_valid_i,217.585µm
net175,216.85µm
_0051_,214.68µm
net144,211.525µm
u_core.mem_rd_addr\[2\],210.865µm
net90,208.83µm
net112,208.57µm
net177,207.24µm
net311,206.41µm
net114,206.315µm
clknet_4_3_0_clk,205.48µm
clknet_leaf_34_clk,205.165µm
net200,204.28µm
net300,202.19µm
net154,198.82µm
net319,198.42µm
clknet_leaf_12_clk,198.39µm
net165,197.91µm
net85,197.33µm
net312,196.36µm
net65,196.34µm
clknet_leaf_3_clk,194.86µm
net310,194.835µm
net161,194.46µm
clknet_4_14_0_clk,194.42µm
net174,193.965µm
u_core.dec_addr_i\[5\],193.94µm
net100,192.77µm
u_core.dec_cmd_i\[4\],190.425µm
net156,187.03µm
net187,186.385µm
clknet_leaf_1_clk,186.08µm
net160,182.575µm
clknet_leaf_43_clk,182.47µm
net153,182.375µm
net158,182.165µm
clknet_4_1_0_clk,181.9µm
net239,181.54µm
clknet_leaf_63_clk,181.145µm
net110,180.475µm
net313,180.475µm
clknet_leaf_46_clk,180.12µm
net314,179.53µm
net197,179.225µm
u_core.mem_rd_en,179.07µm
net122,177.635µm
net190,176.84µm
clknet_leaf_13_clk,176.585µm
clknet_4_4_0_clk,176.25µm
clknet_4_13_0_clk,175.59µm
net72,175.53µm
clknet_leaf_4_clk,175.03µm
net198,175µm
net152,174.515µm
net252,174.375µm
clknet_4_5_0_clk,173.56µm
net248,172.455µm
net34,171.94µm
clknet_4_15_0_clk,171.39µm
clknet_leaf_5_clk,171.24µm
clknet_leaf_24_clk,170.93µm
clknet_leaf_19_clk,170.88µm
u_core.dec_addr_i\[2\],170.87µm
clknet_leaf_39_clk,170.5µm
net105,170.34µm
clknet_leaf_26_clk,169.895µm
net61,169.13µm
net59,168.705µm
net29,168.18µm
net196,167.85µm
net97,167.76µm
net42,166.85µm
clknet_4_8_0_clk,166.43µm
clknet_leaf_41_clk,164.745µm
clknet_4_12_0_clk,164.49µm
net249,164.04µm
net68,164.03µm
u_core.dec_cmd_i\[6\],163.515µm
net64,162.805µm
clknet_leaf_18_clk,162.78µm
clknet_leaf_35_clk,162.655µm
net60,162.09µm
clknet_4_11_0_clk,161.855µm
net327,160.66µm
clknet_leaf_32_clk,160.64µm
net44,159.42µm
net304,159.065µm
clknet_leaf_0_clk,158.685µm
