Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_116_922,VDD,Metal1,449.2910,456.7830,1.200000
FILLER_116_915,VDD,Metal1,446.6490,456.7810,1.200000
FILLER_116_908,VDD,Metal1,443.2890,456.7810,1.200000
FILLER_116_901,VDD,Metal1,439.9290,456.7810,1.200000
FILLER_116_894,VDD,Metal1,436.5690,456.7810,1.200000
FILLER_116_887,VDD,Metal1,433.2090,456.7810,1.200000
FILLER_116_880,VDD,Metal1,429.8490,456.7810,1.200000
FILLER_116_873,VDD,Metal1,426.4890,456.7810,1.200000
FILLER_116_866,VDD,Metal1,423.1290,456.7810,1.200000
FILLER_116_859,VDD,Metal1,419.7690,456.7810,1.200000
FILLER_116_852,VDD,Metal1,416.4090,456.7810,1.200000
FILLER_116_845,VDD,Metal1,413.0490,456.7810,1.200000
FILLER_116_838,VDD,Metal1,409.6890,456.7810,1.200000
FILLER_116_831,VDD,Metal1,406.3290,456.7810,1.200000
FILLER_116_824,VDD,Metal1,402.9690,456.7810,1.200000
FILLER_116_817,VDD,Metal1,399.6090,456.7810,1.200000
FILLER_116_810,VDD,Metal1,396.2490,456.7810,1.200000
FILLER_116_803,VDD,Metal1,392.8890,456.7810,1.200000
FILLER_116_796,VDD,Metal1,389.5290,456.7810,1.200000
FILLER_116_789,VDD,Metal1,386.1690,456.7810,1.200000
FILLER_116_782,VDD,Metal1,382.8090,456.7810,1.200000
FILLER_116_775,VDD,Metal1,379.4490,456.7810,1.199999
FILLER_116_768,VDD,Metal1,376.0890,456.7810,1.199999
FILLER_116_761,VDD,Metal1,372.7290,456.7810,1.199999
FILLER_116_754,VDD,Metal1,369.3690,456.7810,1.199999
FILLER_116_747,VDD,Metal1,366.0090,456.7810,1.199999
FILLER_116_740,VDD,Metal1,362.6490,456.7810,1.199999
FILLER_116_733,VDD,Metal1,359.2890,456.7810,1.199999
FILLER_116_728,VDD,Metal1,355.4400,457.3800,1.199999
FILLER_116_724,VDD,Metal1,354.2510,456.7830,1.199999
FILLER_116_717,VDD,Metal1,351.6090,456.7810,1.199999
FILLER_116_713,VDD,Metal1,348.2400,457.3800,1.199998
FILLER_116_709,VDD,Metal1,347.0510,456.7830,1.199998
FILLER_116_698,VDD,Metal1,342.4890,456.7810,1.199999
